Canali/righe EXTINF modificate: 104
Match automatici univoci: 0
ID già validi preservati: 34

Rete 4 | Rete4.it -> Rete.4.it | id:Rete4.it
La5 HD Europa | LA5.it -> La.5.it | id:LA5.it
27 HD Europa | TwentySeven.it -> 27.Twentyseven.it | id:TwentySeven.it
TOPCrime HD Europa | TOPCrime.it -> Top.Crime.it | id:TOPCrime.it
Rai Scuola Europa | (vuoto) -> RaiScuola.it | nome-verificato
Rai Storia Europa | (vuoto) -> RaiStoria.it | nome-verificato
Mediaset Extra HD Europa | MediasetExtra.it -> Mediaset.Extra.it | id:MediasetExtra.it
TGCOM24 | (vuoto) -> TGCom.it | nome-verificato
TGCOM24 HD Europa | (vuoto) -> TGCom.it | nome-verificato
RAI News 24 Europa HD | (vuoto) -> RaiNews24.it | nome-verificato
TG Norba 24 | tg norba 24 -> TG.NORBA.24.it | id:tg norba 24
NOVE backup 🔐 | (vuoto) -> Nove.it | nome-verificato
NOVE 720p 50fps 🔐 | (vuoto) -> Nove.it | nome-verificato
Discovery backup 🔐 | (vuoto) -> Discovery.Channel.it | nome-verificato
Giallo backup 🔐 | (vuoto) -> Giallo.TV.it | nome-verificato
DMAX backup 🔐 | (vuoto) -> DMAX.it | nome-verificato
HGTV backup 🔐 | (vuoto) -> HGTV.it | nome-verificato
